process child ret  = 0
 CPU     ID                    FUNCTION:NAME
   2  81524             tsort_unsigned:entry 
   2  81523                      tsort:entry 
   2  81461                set_environ:entry 
   2  81333                 lookup_sym:entry 
   2  81353                   elf_hash:entry 
   2  81332                _lookup_sym:entry 
   2  81330            core_lookup_sym:entry 
   2  81460                   callable:entry 
   2  81354               elf_find_sym:entry 
   2  81755                     strcmp:entry 
   2  81755                     strcmp:entry 
   2  81755                     strcmp:entry 
   2  81394                     calloc:entry 
   2  81393                    _calloc:entry 
   2  81391                     malloc:entry 
   2  81390                    _malloc:entry 
   2  81389                      split:entry 
   2  81785                     memset:entry 
   2  81522                 initorfini:entry 
   2  81517                  dep_visit:entry 
   2  81516                 _dep_visit:entry 
   2  81517                  dep_visit:entry 
   2  81516                 _dep_visit:entry 
   2  81516                 _dep_visit:entry 
   2  81515                      visit:entry 
   2  81515                      visit:entry 
   2  81522                 initorfini:entry 
   2  81366              rt_get_extern:entry 
   2  81365            get_lcinterface:entry 
   2  81399                       free:entry 
   2  81272                aplist_test:entry 
   2  81548                tls_statmod:entry 
   2  81394                     calloc:entry 
   2  81393                    _calloc:entry 
   2  81391                     malloc:entry 
   2  81390                    _malloc:entry 
   2  81389                      split:entry 
   2  81785                     memset:entry 
   2  84358          __tls_static_mods:entry 
   2  83853                    lmalloc:entry 
   2  83852               getbucketnum:entry 
   2  83851         initial_allocation:entry 
   2  84625               __systemcall:entry 
   2  84357          tls_modinfo_alloc:entry 
   2  83853                    lmalloc:entry 
   2  83852               getbucketnum:entry 
   2  81990                     memcpy:entry 
   2  81399                       free:entry 
   2  81272                aplist_test:entry 
   2  81370                rt_thr_init:entry 
   2  81459                      leave:entry 
   2  81415                   rd_event:entry 
   2  81388                     defrag:entry 
   2  81270              aplist_delete:entry 
   2  81369              rt_bind_clear:entry 
   2  81369              rt_bind_clear:entry 
   2  84298                  libc_init:entry 
   2  82134                     atexit:entry 
   2  83853                    lmalloc:entry 
   2  83852               getbucketnum:entry 
   2  84587               __getcontext:entry 
   2  83853                    lmalloc:entry 
   2  83852               getbucketnum:entry 
   2  84496                  getrlimit:entry 
   2  84492                     getpid:entry 
   2  83853                    lmalloc:entry 
   2  83852               getbucketnum:entry 
   2  84608             ___lwp_private:entry 
   2  84388              set_curthread:entry 
   2  84142                mutex_setup:entry 
   2  82864                atfork_init:entry 
   2  82142             pthread_atfork:entry 
   2  83853                    lmalloc:entry 
   2  83852               getbucketnum:entry 
   2  84203                lmutex_lock:entry 
   2  84204              lmutex_unlock:entry 
   2  84197                 mutex_lock:entry 
   2  84196            mutex_lock_impl:entry 
   2  84202               mutex_unlock:entry 
   2  84103                signal_init:entry 
   2  83605                  setustack:entry 
   2  84624                    syscall:entry 
   2  84297            set_thread_vars:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  82001                    strncmp:entry 
   2  81367                   _ld_libc:entry 
   2  81297                     caller:entry 
   2  81470                    _caller:entry 
   2  81365            get_lcinterface:entry 
   2  82232              init_progname:entry 
   2  81501                     dlinfo:entry 
   2  81456                      enter:entry 
   2  81368              rt_bind_guard:entry 
   2  84325             _ti_bind_guard:entry 
   2  84197                 mutex_lock:entry 
   2  84196            mutex_lock_impl:entry 
   2  83880    set_cancel_pending_flag:entry 
   2  81297                     caller:entry 
   2  81470                    _caller:entry 
   2  81500                dlinfo_core:entry 
   2  81459                      leave:entry 
   2  81415                   rd_event:entry 
   2  81369              rt_bind_clear:entry 
   2  84326             _ti_bind_clear:entry 
   2  81369              rt_bind_clear:entry 
   2  84326             _ti_bind_clear:entry 
